gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000117280,1075.443554,-0.817503427,0.098797756,1.39E-17,1.08E-15,RAB29
ENSG00000099864,1125.592959,-0.819442578,0.099165122,1.52E-17,1.18E-15,PALM
ENSG00000117228,161.1945841,-1.737363035,0.212071033,1.56E-17,1.20E-15,GBP1
ENSG00000138074,1335.078167,0.740831597,0.089556048,1.69E-17,1.29E-15,SLC5A6
ENSG00000112715,1605.297237,-0.735289214,0.089153939,2.01E-17,1.53E-15,VEGFA
ENSG00000198830,11340.87483,0.561296712,0.067597746,2.04E-17,1.55E-15,HMGN2
ENSG00000204054,1312.069074,0.789501009,0.095857648,2.07E-17,1.56E-15,LINC00963
ENSG00000157654,3012.051394,-0.924811496,0.112858835,2.32E-17,1.75E-15,PALM2AKAP2
ENSG00000128641,5585.164201,-0.780524262,0.094973724,2.37E-17,1.78E-15,MYO1B
ENSG00000188486,4776.147939,0.622145961,0.075316728,2.38E-17,1.78E-15,H2AX
ENSG00000124134,203.6619239,1.613994238,0.19826382,2.58E-17,1.92E-15,KCNS1
ENSG00000163661,720.9405373,-2.880367752,0.355751216,2.75E-17,2.04E-15,PTX3
ENSG00000128965,160.9283859,-2.305399292,0.284324989,2.82E-17,2.08E-15,CHAC1
ENSG00000184900,3855.31485,0.611088525,0.074131973,2.84E-17,2.09E-15,SUMO3
ENSG00000162496,261.6588232,-1.354199746,0.16649442,2.86E-17,2.10E-15,DHRS3
ENSG00000126709,293.7901311,-1.338217496,0.164980491,3.42E-17,2.49E-15,IFI6
ENSG00000204634,1049.108553,-0.76063928,0.093508192,4.95E-17,3.60E-15,TBC1D8
ENSG00000116514,1357.989995,-0.878528526,0.108835215,6.77E-17,4.90E-15,RNF19B
ENSG00000243137,905.652862,0.936765769,0.116337518,7.52E-17,5.43E-15,PSG4
ENSG00000204525,5665.294972,-0.576605958,0.070949023,8.17E-17,5.87E-15,HLA-C
ENSG00000075624,170067.1096,0.579064765,0.071250037,8.31E-17,5.95E-15,ACTB
ENSG00000214517,11141.49727,0.763924192,0.094743488,8.96E-17,6.39E-15,PPME1
ENSG00000035862,2720.18474,-0.636507321,0.078730206,9.64E-17,6.85E-15,TIMP2
ENSG00000136938,6642.223984,0.535050676,0.065696045,1.00E-16,7.09E-15,ANP32B
ENSG00000170144,19384.34991,0.528081128,0.065067326,1.03E-16,7.27E-15,HNRNPA3
ENSG00000100065,2929.410652,0.633846349,0.078474814,1.06E-16,7.41E-15,CARD10
ENSG00000088726,2040.826698,1.040740948,0.130150268,1.07E-16,7.46E-15,TMEM40
ENSG00000164294,320.655365,-1.294411319,0.162456171,1.12E-16,7.79E-15,GPX8
ENSG00000105974,11950.36931,0.534067869,0.066009227,1.26E-16,8.72E-15,CAV1
ENSG00000146072,878.8005283,-1.16226117,0.146014274,1.28E-16,8.85E-15,TNFRSF21
ENSG00000166670,53.15536226,-3.154578412,0.396169782,1.31E-16,9.01E-15,MMP10
ENSG00000119326,7043.700238,0.723507979,0.090156659,1.37E-16,9.37E-15,CTNNAL1
ENSG00000198431,15047.76956,-0.602035485,0.07454877,1.42E-16,9.68E-15,TXNRD1
ENSG00000100075,3352.600395,0.582212145,0.072252888,1.42E-16,9.70E-15,SLC25A1
ENSG00000174939,272.6235646,-1.308828998,0.165149103,1.56E-16,1.06E-14,ASPHD1
ENSG00000069275,11765.755,0.733255784,0.092058394,1.68E-16,1.14E-14,NUCKS1
ENSG00000100625,505.4895193,-1.01700328,0.128171237,1.78E-16,1.20E-14,SIX4
ENSG00000223496,1020.086662,0.799551855,0.100304649,1.79E-16,1.20E-14,EXOSC6
ENSG00000010810,557.0192887,-1.007196975,0.127444058,2.29E-16,1.53E-14,FYN
ENSG00000006831,6403.373053,0.600809783,0.075227938,2.46E-16,1.64E-14,ADIPOR2
ENSG00000117139,1323.666654,-0.861620085,0.108889054,2.54E-16,1.68E-14,KDM5B
ENSG00000206053,9531.050388,0.550499809,0.069248122,3.73E-16,2.47E-14,JPT2
ENSG00000072786,2116.782276,-0.668034152,0.084811554,4.73E-16,3.12E-14,STK10
ENSG00000065357,799.2900725,-0.773632893,0.098612348,5.02E-16,3.30E-14,DGKA
ENSG00000149948,2542.545469,-0.692133246,0.088134044,5.53E-16,3.62E-14,HMGA2
ENSG00000260804,292.0817249,1.221118617,0.157050484,5.62E-16,3.67E-14,LINC01963
ENSG00000258441,723.4247541,0.880039487,0.112838643,6.32E-16,4.11E-14,LINC00641
ENSG00000114315,1212.956321,1.101212152,0.142032487,7.15E-16,4.63E-14,HES1
ENSG00000160886,2458.908409,0.861862433,0.110794128,7.49E-16,4.83E-14,LY6K
ENSG00000203727,786.1780969,-0.870952533,0.112149765,8.01E-16,5.15E-14,SAMD5
ENSG00000189403,15719.20276,0.566832272,0.072396632,9.34E-16,5.99E-14,HMGB1
ENSG00000076067,4319.833852,0.659699139,0.084686142,1.01E-15,6.42E-14,RBMS2
ENSG00000110619,2042.841752,-0.795728978,0.102797278,1.08E-15,6.90E-14,CARS1
ENSG00000167470,2592.452309,0.710589556,0.091645153,1.23E-15,7.77E-14,MIDN
ENSG00000122376,1529.338845,0.667079206,0.086024472,1.30E-15,8.24E-14,SHLD2
ENSG00000122566,41599.79546,0.463093123,0.059171272,1.40E-15,8.77E-14,HNRNPA2B1
